"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678397827662000E9,"2023-03-09 16:37:07.662 UTC-05:00"
"PAUSE",6.404298374999780E1,1.678397891705000E9,"2023-03-09 16:38:11.705 UTC-05:00"
