Max,Min,Peak to Peak Range,Mean,Median,Variance,Skew,Kurtosis,Standard Deviation,Inter Quartile Range
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1.6842235516527138,0.9720602025655887,0.7121633490871251,1.4744021380309384,1.5962898892028632,0.08826748855717066,-1.7078948426366196,2.830852806499822,0.29709844926752926,0.2335941497044729
1.6842235516527138,0.2338360204953142,1.4503875311573995,1.1858662224862013,1.4429214485145267,0.3587398806551763,-1.285223617843572,0.9165211492574711,0.598948980010131,0.6242296866372745
1.5962898892028632,-0.6053407443948624,2.2016306335977256,0.727953363276686,0.9720602025655887,0.8366502400357048,-0.7927708617698305,-0.7621240003635279,0.9146858695944224,1.2090854280192125
1.4429214485145267,-1.4243687084790777,2.8672901569936045,0.12382164374029787,0.2338360204953142,1.3500518164255837,-0.3165183198929647,-1.4344526997484668,1.161917301887524,1.577400946960451
0.9720602025655887,-2.2960128008593013,3.26807300342489,-0.6239652061344676,-0.6053407443948624,1.679963961447363,-0.09388687974438877,-1.2427103439575131,1.2961342374335163,1.658204728974392
0.2338360204953142,-2.2960128008593013,2.5298488213546153,-1.216288513531922,-1.4243687084790777,1.0707908419496803,0.5818527791738134,-1.153786146676654,1.0347902405558724,1.384215590026819
-0.6053407443948624,-2.2960128008593013,1.6906720564644389,-1.4309015575706268,-1.4243687084790777,0.5230455341004918,-0.057305565018064324,-2.313308511314658,0.7232188701219651,1.150327134723471
0.531944764613822,-2.2960128008593013,2.827957565473123,-1.2034444557688897,-1.4243687084790777,1.2511783747158314,1.034220547192123,0.7006997218521,1.1185608498047084,1.150327134723471
1.966536934011813,-2.2960128008593013,4.262549734871114,-0.5252633272707116,-0.8392291996982104,3.1762599424321127,0.5837336117396688,-1.2794906187682074,1.7822064814246728,2.521501099035503
2.7310200842255745,-1.9895563344216813,4.720576418647256,0.4801432497462635,0.531944764613822,3.7796639504887786,-0.15153074384465598,-1.8065285290434343,1.9441357849925962,2.8057661337100237
3.1898856496268775,-0.8392291996982104,4.029114849325088,1.5160316465559753,1.966536934011813,2.749154946600391,-0.6804015276564737,-1.0899300931824278,1.6580575824139494,2.1990753196117527
3.2067440386913066,0.531944764613822,2.6747992740774844,2.3252262942338784,2.7310200842255745,1.25847365906768,-1.302971170322095,1.1145814071538567,1.1218171237183359,1.2233487156150644
3.2067440386913066,1.966536934011813,1.2402071046794936,2.741373521658783,2.7310200842255745,0.2586933921756591,-0.8750087761133306,0.3695899579474767,0.5086191032350821,0.577204747888532
3.2067440386913066,1.4581200617900565,1.7486239769012502,2.6396901472144316,2.7310200842255745,0.5073609325548359,-1.4988081403107532,2.4122585158683663,0.7122927295395033,0.577204747888532
3.2067440386913066,0.4645076540048256,2.742236384686481,2.1863876611702824,2.6126809017383454,1.4312764330803538,-0.8130010248056994,-1.164202569389771,1.196359658748302,1.731765587836821
3.2067440386913066,-0.1675127190379501,3.3742567577292566,1.5149079874373168,1.4581200617900565,2.0011299395617,0.03594345665924287,-2.108403406441885,1.4146129999267292,2.14817324773352
