0,1,2,3,4
-1.7261088865170415,-0.3054608173674503,-0.7090162728957892,-0.8408323734961245,-0.5405050338098663
-1.7142046883967152,-0.3455026698755807,-0.7099718043109744,-0.8399318873572978,-0.5394917114348479
-1.702300490276389,-0.4125405103221173,-0.7114336825564309,-0.8339754085178775,-0.5245429224748349
-1.6903962921560458,-0.513238135427139,-0.7128926104920364,-0.8236289807615187,-0.49345643484359114
-1.6784920940357193,-0.6264681515095237,-0.7161515958664919,-0.8067630333635599,-0.44281100315733407
-1.6665878761863415,-0.741477149118762,-0.7179634545570649,-0.7859210447069455,-0.42253024085617885
-1.6546836780660152,-0.8486022822114714,-0.7195558839900299,-0.7643637225035717,-0.4267661999294474
-1.6427794799456719,-0.9423225736254023,-0.7232079980893272,-0.7440165272874203,-0.42651180065511546
-1.6308752818253456,-1.0256552487408965,-0.7285705539934622,-0.7294305475988837,-0.4079243363468187
-1.6189710837050193,-1.0895418153868126,-0.7310045591525596,-0.7217482949756685,-0.41391619793689777
-1.607066885584693,-1.1404711257467577,-0.7332696590985478,-0.7192711681931444,-0.4158952798925949
-1.5951626874643499,-1.182573688670391,-0.7358393784763062,-0.7209444926110411,-0.410599617804486
-1.5832584893440234,-1.2170127717489747,-0.7373488304588739,-0.7258867396943283,-0.4115241216910605
-1.571354291223697,-1.2487754305053034,-0.7355867582439595,-0.7313067183696687,-0.443594035034044
-1.5594500931033708,-1.2722611675332767,-0.7256110250122334,-0.7299525136009094,-0.5541535109535763
-1.547545875253976,-1.2757964105346589,-0.7179339514930451,-0.7322609177179594,-0.6284599565132963
-1.5356416771336328,-1.2841869326308881,-0.7183776042476031,-0.7399229488970545,-0.6191773638331128
-1.5237374790133065,-1.3318672728931185,-0.7207437522801243,-0.7436007238662284,-0.6046777089905616
-1.5118332808929802,-1.398328023547658,-0.7256172943991098,-0.7449877884803217,-0.5716700786319044
-1.499929082772637,-1.4695031888603094,-0.7308467175804505,-0.746245309473362,-0.5380295743931269
-1.488024864923259,-1.5531743930225859,-0.7366119906979653,-0.7439621821609347,-0.5087144593296199
-1.4761206668029327,-1.6496960691528082,-0.744064103126727,-0.744771671804808,-0.46038423589246064
-1.4642164686825896,-1.741796419527588,-0.75188721695891,-0.7491704675995652,-0.39535662683867207
-1.45231227056228,-1.818154032963295,-0.7606621743103413,-0.753281739753876,-0.3194009221991368
-1.4404080724419368,-1.865661700676071,-0.768352893020598,-0.7574189206340862,-0.2494098064019448
-1.4285038545925421,-1.8876229209575144,-0.7725275806371026,-0.7605646188805169,-0.20837796585363955
-1.4165996564722159,-1.9027113198857033,-0.7745282591088755,-0.7608464552421392,-0.19187558565808904
-1.4046954583518896,-1.9191265709260898,-0.7767232892069852,-0.7571339246703029,-0.18062992314969187
-1.392791260231563,-1.9326427409614382,-0.7802695609459154,-0.7501764843973747,-0.1607760124120768
-1.38088706211122,-1.9456727014732857,-0.7843505762480512,-0.7427880746159724,-0.13564211755775432
-1.3689828442618421,-1.9503394039941935,-0.7879012734566855,-0.736011995411674,-0.11097349352165796
-1.357078646141499,-1.9526545791869843,-0.7902504572161854,-0.7306766940286535,-0.09531509441889766
-1.3451744480211727,-1.9510846223054472,-0.7935393144735721,-0.7258475606424771,-0.06846055376290094
-1.3332702499008462,-1.9396359787012991,-0.7942886930230154,-0.7235650652471047,-0.05994700983404162
-1.321366051780503,-1.9237523773194203,-0.7948256493173773,-0.727665594760823,-0.04596883950260692
-1.3094618339311084,-1.897188070713668,-0.7946029009605708,-0.733817336909938,-0.036724405728956716
-1.2975576358107987,-1.864643841513795,-0.7917927313816808,-0.7393447420021807,-0.054152446109807316
-1.2856534376904725,-1.8252858631376945,-0.789588850341699,-0.7428323090217402,-0.06618887342326643
-1.2737492437132214,-1.7853507949620084,-0.7897581243244464,-0.746562533355546,-0.052875304153831154
-1.2618450497360039,-1.7513297611786118,-0.7907269321314976,-0.753233081905083,-0.027180045435801464
-1.249940836029735,-1.7236067309753662,-0.7920634222329177,-0.7621905492862631,0.006091911134159276
-1.238036642052484,-1.7014114939546205,-0.7908025338072672,-0.7718266988519324,0.015380937099041375
-1.2261324480752496,-1.6756514778614342,-0.7838239460184588,-0.7793534991353723,-0.029816123653261487
-1.2142282540980323,-1.6419735171428747,-0.7820685119994774,-0.7913473425835176,-0.0161689416009506
-1.2023240601208147,-1.6153478663518277,-0.7796263934993759,-0.8040950667089969,-0.009766538594178599
-1.1904198464145122,-1.5779574460841093,-0.7724932832598299,-0.814924281416974,-0.0457164980528121
-1.1785156524372777,-1.5304247862834188,-0.7658510307127506,-0.8237408306164987,-0.07296929742136758
-1.1666114584600604,-1.4769076598796602,-0.757717396831558,-0.8290603339971577,-0.11293135825374077
-1.1547072644828429,-1.4154816768805651,-0.7515674771441896,-0.8341100074951183,-0.13294467282550373
-1.1428030705056087,-1.3677445364419873,-0.7522147012390576,-0.8438150363499018,-0.09218935825461455
-1.1308988567993228,-1.3175945245066933,-0.753809712190063,-0.8549703218309599,-0.048235698900306996
