"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678397401232000E9,"2023-03-09 16:30:01.232 UTC-05:00"
"PAUSE",7.182235720835160E1,1.678397473054000E9,"2023-03-09 16:31:13.054 UTC-05:00"
